minute,outside_temp_c,outside_rh,outside_reference_wind_speed_m_s,outside_local_wind_speed_m_s,outside_wind_direction_deg,outside_co2_ppm,outside_direct_radiation_w_m2,outside_diffuse_radiation_w_m2,inside_temp_c,inside_rh,total_airflow_m3_s,average_airflow_m3_s,heater_gain_w,envelope_loss_w,ventilation_loss_w,damper_power_w,fan_power_w,heater_power_w,damper_resource_rate_per_hour,fan_resource_rate_per_hour,heater_resource_rate_per_hour
0,35,0.8,4,3.48633,270,420,150,50,15,0.6,0.105,0.105,0,7651.2,2501.49,0,315,0,0,0.315,0
1,35,0.8,4,3.48633,270,420,150,50,15.7414,0.585252,0.105,0.105,0,7367.58,2405.57,0,315,0,0,0.315,0
2,35,0.8,4,3.48633,270,420,150,50,16.4653,0.5713,0.105,0.105,0,7090.63,2312.15,0,315,0,0,0.315,0
3,35,0.8,4,3.48633,270,420,150,50,17.1722,0.558098,0.105,0.105,0,6820.21,2221.18,0,315,0,0,0.315,0
4,35,0.8,4,3.48633,270,420,150,50,17.8623,0.545602,0.105,0.105,0,6556.2,2132.59,0,315,0,0,0.315,0
5,35,0.8,4,3.48633,270,420,150,50,18.536,0.533769,0.105,0.105,0,6298.48,2046.33,0,315,0,0,0.315,0
6,35,0.8,4,3.48633,270,420,150,50,19.1935,0.522563,0.105,0.105,0,6046.93,1962.33,0,315,0,0,0.315,0
7,35,0.8,4,3.48633,270,420,150,50,19.8353,0.511947,0.105,0.105,0,5801.42,1880.54,0,315,0,0,0.315,0
8,35,0.8,4,3.48633,270,420,150,50,20.4615,0.501886,0.105,0.105,0,5561.83,1800.91,0,315,0,0,0.315,0
9,35,0.8,4,3.48633,270,420,150,50,21.0726,0.49235,0.105,0.105,0,5328.05,1723.38,0,315,0,0,0.315,0
10,35,0.8,4,3.48633,270,420,150,50,21.6689,0.483308,0.105,0.105,0,5099.96,1647.89,0,315,0,0,0.315,0
11,35,0.8,4,3.48633,270,420,150,50,22.2505,0.474734,0.105,0.105,0,4877.44,1574.41,0,315,0,0,0.315,0
12,35,0.8,4,3.48633,270,420,150,50,22.8179,0.4666,0.105,0.105,0,4660.37,1502.87,0,315,0,0,0.315,0
13,35,0.8,4,3.48633,270,420,150,50,23.3714,0.458882,0.105,0.105,0,4448.64,1433.22,0,315,0,0,0.315,0
14,35,0.8,4,3.48633,270,420,150,50,23.9112,0.451558,0.105,0.105,0,4242.14,1365.43,0,315,0,0,0.315,0
15,35,0.8,4,3.48633,270,420,150,50,24.4376,0.444607,0.105,0.105,0,4040.75,1299.44,0,315,0,0,0.315,0
16,35,0.8,4,3.48633,270,420,150,50,24.9509,0.438008,0.105,0.105,0,3844.38,1235.2,0,315,0,0,0.315,0
17,35,0.8,4,3.48633,270,420,150,50,25.4514,0.431742,0.105,0.105,0,3652.89,1172.68,0,315,0,0,0.315,0
18,35,0.8,4,3.48633,270,420,150,50,25.9395,0.425792,0.105,0.105,0,3466.2,1111.82,0,315,0,0,0.315,0
19,35,0.8,4,3.48633,270,420,150,50,26.4152,0.420141,0.105,0.105,0,3284.2,1052.59,0,315,0,0,0.315,0
20,35,0.8,4,3.48633,270,420,150,50,26.879,0.414775,0.105,0.105,0,3106.77,994.947,0,315,0,0,0.315,0
21,35,0.8,4,3.48633,270,420,150,50,27.3311,0.409677,0.105,0.105,0,2933.82,938.845,0,315,0,0,0.315,0
22,35,0.8,4,3.48633,270,420,150,50,27.7717,0.404836,0.105,0.105,0,2765.26,884.246,0,315,0,0,0.315,0
23,35,0.8,4,3.48633,270,420,150,50,28.2012,0.400237,0.105,0.105,0,2600.97,831.111,0,315,0,0,0.315,0
24,35,0.8,4,3.48633,270,420,150,50,28.6197,0.395868,0.105,0.105,0,2440.86,779.404,0,315,0,0,0.315,0
25,35,0.8,4,3.48633,270,420,150,50,29.0275,0.391719,0.105,0.105,0,2284.84,729.086,0,315,0,0,0.315,0
26,35,0.8,4,3.48633,270,420,150,50,29.4249,0.387779,0.105,0.105,0,2132.81,680.123,0,315,0,0,0.315,0
27,35,0.8,4,3.48633,270,420,150,50,29.8121,0.384037,0.105,0.105,0,1984.68,632.477,0,315,0,0,0.315,0
28,35,0.8,4,3.48633,270,420,150,50,30.1894,0.380484,0.105,0.105,0,1840.35,586.117,0,315,0,0,0.315,0
29,35,0.8,4,3.48633,270,420,150,50,30.5569,0.377111,0.105,0.105,0,1699.75,541.007,0,315,0,0,0.315,0
30,35,0.8,4,3.48633,270,420,150,50,30.915,0.37391,0.105,0.105,0,1562.78,497.115,0,315,0,0,0.315,0
31,35,0.8,4,3.48633,270,420,150,50,31.2637,0.370872,0.105,0.105,0,1429.35,454.41,0,315,0,0,0.315,0
32,35,0.8,4,3.48633,270,420,150,50,31.6035,0.367991,0.105,0.105,0,1299.38,412.86,0,315,0,0,0.315,0
33,35,0.8,4,3.48633,270,420,150,50,31.9344,0.365259,0.105,0.105,0,1172.79,372.434,0,315,0,0,0.315,0
34,35,0.8,4,3.48633,270,420,150,50,32.2566,0.362668,0.105,0.105,0,1049.5,333.105,0,315,0,0,0.315,0
35,35,0.8,4,3.48633,270,420,150,50,32.5705,0.360214,0.105,0.105,0,929.423,294.841,0,315,0,0,0.315,0
36,35,0.8,4,3.48633,270,420,150,50,32.8762,0.35789,0.105,0.105,0,812.487,257.616,0,315,0,0,0.315,0
37,35,0.8,4,3.48633,270,420,150,50,33.1738,0.35569,0.105,0.105,0,698.613,221.402,0,315,0,0,0.315,0
38,35,0.8,4,3.48633,270,420,150,50,33.4637,0.353608,0.105,0.105,0,587.728,186.172,0,315,0,0,0.315,0
39,35,0.8,4,3.48633,270,420,150,50,33.7459,0.35164,0.105,0.105,0,479.757,151.901,0,315,0,0,0.315,0
40,35,0.8,4,3.48633,270,420,150,50,34.0207,0.349782,0.105,0.105,0,374.629,118.562,0,315,0,0,0.315,0
41,35,0.8,4,3.48633,270,420,150,50,34.2883,0.348027,0.105,0.105,0,272.273,86.1311,0,315,0,0,0.315,0
42,35,0.8,4,3.48633,270,420,150,50,34.5488,0.346372,0.105,0.105,0,172.621,54.584,0,315,0,0,0.315,0
43,35,0.8,4,3.48633,270,420,150,50,34.8024,0.344813,0.105,0.105,0,75.606,23.8973,0,315,0,0,0.315,0
44,35,0.8,4,3.48633,270,420,150,50,35.0492,0.343345,0.105,0.105,0,-18.8387,-5.95208,0,315,0,0,0.315,0
45,35,0.8,4,3.48633,270,420,150,50,35.2896,0.341965,0.105,0.105,0,-110.777,-34.9864,0,315,0,0,0.315,0
46,35,0.8,4,3.48633,270,420,150,50,35.5235,0.34067,0.105,0.105,0,-200.273,-63.2275,0,315,0,0,0.315,0
47,35,0.8,4,3.48633,270,420,150,50,35.7512,0.339456,0.105,0.105,0,-287.386,-90.6965,0,315,0,0,0.315,0
48,35,0.8,4,3.48633,270,420,150,50,35.9729,0.338319,0.105,0.105,0,-372.179,-117.414,0,315,0,0,0.315,0
49,35,0.8,4,3.48633,270,420,150,50,36.1886,0.337257,0.105,0.105,0,-454.709,-143.401,0,315,0,0,0.315,0
50,35,0.8,4,3.48633,270,420,150,50,36.3986,0.336267,0.105,0.105,0,-535.034,-168.676,0,315,0,0,0.315,0
51,35,0.8,4,3.48633,270,420,150,50,36.6029,0.335346,0.105,0.105,0,-613.211,-193.258,0,315,0,0,0.315,0
52,35,0.8,4,3.48633,270,420,150,50,36.8018,0.334491,0.105,0.105,0,-689.294,-217.166,0,315,0,0,0.315,0
53,35,0.8,4,3.48633,270,420,150,50,36.9953,0.333699,0.105,0.105,0,-763.336,-240.419,0,315,0,0,0.315,0
54,35,0.8,4,3.48633,270,420,150,50,37.1837,0.332968,0.105,0.105,0,-835.392,-263.034,0,315,0,0,0.315,0
55,35,0.8,4,3.48633,270,420,150,50,37.367,0.332297,0.105,0.105,0,-905.511,-285.028,0,315,0,0,0.315,0
56,35,0.8,4,3.48633,270,420,150,50,37.5453,0.331682,0.105,0.105,0,-973.743,-306.418,0,315,0,0,0.315,0
57,35,0.8,4,3.48633,270,420,150,50,37.7189,0.331121,0.105,0.105,0,-1040.14,-327.22,0,315,0,0,0.315,0
58,35,0.8,4,3.48633,270,420,150,50,37.8878,0.330613,0.105,0.105,0,-1104.74,-347.451,0,315,0,0,0.315,0
59,35,0.8,4,3.48633,270,420,150,50,38.0521,0.330155,0.105,0.105,0,-1167.6,-367.125,0,315,0,0,0.315,0
60,35,0.8,4,3.48633,270,420,150,50,38.212,0.329746,0.105,0.105,0,-1228.77,-386.257,0,315,0,0,0.315,0
61,35,0.8,4,3.48633,270,420,150,50,38.3675,0.329383,0.105,0.105,0,-1288.28,-404.864,0,315,0,0,0.315,0
62,35,0.8,4,3.48633,270,420,150,50,38.5189,0.329065,0.105,0.105,0,-1346.18,-422.957,0,315,0,0,0.315,0
63,35,0.8,4,3.48633,270,420,150,50,38.6661,0.328791,0.105,0.105,0,-1402.51,-440.553,0,315,0,0,0.315,0
64,35,0.8,4,3.48633,270,420,150,50,38.8094,0.328559,0.105,0.105,0,-1457.31,-457.663,0,315,0,0,0.315,0
65,35,0.8,4,3.48633,270,420,150,50,38.9487,0.328366,0.105,0.105,0,-1510.63,-474.302,0,315,0,0,0.315,0
66,35,0.8,4,3.48633,270,420,150,50,39.0843,0.328213,0.105,0.105,0,-1562.5,-490.482,0,315,0,0,0.315,0
67,35,0.8,4,3.48633,270,420,150,50,39.2162,0.328096,0.105,0.105,0,-1612.96,-506.216,0,315,0,0,0.315,0
68,35,0.8,4,3.48633,270,420,150,50,39.3445,0.328016,0.105,0.105,0,-1662.05,-521.515,0,315,0,0,0.315,0
69,35,0.8,4,3.48633,270,420,150,50,39.4694,0.32797,0.106224,0.105017,0,-1709.8,-542.647,0,315,0,0,0.315,0
70,35,0.8,4,3.48633,270,420,150,50,39.5904,0.327988,0.106958,0.105045,0,-1756.12,-561.091,0,315,0,0,0.315,0
71,35,0.8,4,3.48633,270,420,150,50,39.708,0.328055,0.10747,0.105079,0,-1801.09,-578.107,0,315,0,0,0.315,0
72,35,0.8,4,3.48633,270,420,150,50,39.8222,0.328164,0.107882,0.105117,0,-1844.78,-594.287,0,315,0,0,0.315,0
73,35,0.8,4,3.48633,270,420,150,50,39.9331,0.328312,0.108231,0.105159,0,-1887.21,-609.821,0,315,0,0,0.315,0
74,35,0.8,4,3.48633,270,420,150,50,40.0409,0.328496,0.108538,0.105204,0,-1928.44,-624.802,0,315,0,0,0.315,0
75,35,0.8,4,3.48633,270,420,150,50,40.1456,0.328713,0.108812,0.105252,0,-1968.49,-639.286,0,315,0,0,0.315,0
76,35,0.8,4,3.48633,270,420,150,50,40.2473,0.328961,0.109061,0.105301,0,-2007.41,-653.31,0,315,0,0,0.315,0
77,35,0.8,4,3.48633,270,420,150,50,40.3461,0.32924,0.109289,0.105352,0,-2045.22,-666.901,0,315,0,0,0.315,0
78,35,0.8,4,3.48633,270,420,150,50,40.4422,0.329547,0.109499,0.105405,0,-2081.96,-680.083,0,315,0,0,0.315,0
79,35,0.8,4,3.48633,270,420,150,50,40.5355,0.329881,0.109695,0.105458,0,-2117.65,-692.874,0,315,0,0,0.315,0
80,35,0.8,4,3.48633,270,420,150,50,40.6261,0.330241,0.109877,0.105513,0,-2152.33,-705.288,0,315,0,0,0.315,0
81,35,0.8,4,3.48633,270,420,150,50,40.7142,0.330626,0.110047,0.105568,0,-2186.02,-717.342,0,315,0,0,0.315,0
82,35,0.8,4,3.48633,270,420,150,50,40.7998,0.331034,0.110208,0.105624,0,-2218.76,-729.046,0,315,0,0,0.315,0
83,35,0.8,4,3.48633,270,420,150,50,40.8829,0.331464,0.110359,0.10568,0,-2250.56,-740.413,0,315,0,0,0.315,0
84,35,0.8,4,3.48633,270,420,150,50,40.9637,0.331916,0.110502,0.105737,0,-2281.46,-751.454,0,315,0,0,0.315,0
85,35,0.8,4,3.48633,270,420,150,50,41.0421,0.332388,0.110637,0.105794,0,-2311.48,-762.179,0,315,0,0,0.315,0
86,35,0.8,4,3.48633,270,420,150,50,41.1184,0.33288,0.110765,0.105851,0,-2340.64,-772.598,0,315,0,0,0.315,0
87,35,0.8,4,3.48633,270,420,150,50,41.1924,0.33339,0.110887,0.105908,0,-2368.97,-782.719,0,315,0,0,0.315,0
88,35,0.8,4,3.48633,270,420,150,50,41.2644,0.333918,0.111003,0.105966,0,-2396.49,-792.552,0,315,0,0,0.315,0
89,35,0.8,4,3.48633,270,420,150,50,41.3343,0.334463,0.111114,0.106023,0,-2423.23,-802.106,0,315,0,0,0.315,0
90,35,0.8,4,3.48633,270,420,150,50,41.4022,0.335025,0.11122,0.10608,0,-2449.21,-811.387,0,315,0,0,0.315,0
91,35,0.8,4,3.48633,270,420,150,50,41.4681,0.335602,0.111321,0.106137,0,-2474.44,-820.405,0,315,0,0,0.315,0
92,35,0.8,4,3.48633,270,420,150,50,41.5322,0.336194,0.111417,0.106194,0,-2498.95,-829.166,0,315,0,0,0.315,0
93,35,0.8,4,3.48633,270,420,150,50,41.5944,0.3368,0.111509,0.10625,0,-2522.76,-837.678,0,315,0,0,0.315,0
94,35,0.8,4,3.48633,270,420,150,50,41.6549,0.337419,0.111598,0.106307,0,-2545.89,-845.948,0,315,0,0,0.315,0
95,35,0.8,4,3.48633,270,420,150,50,41.7136,0.338052,0.111682,0.106363,0,-2568.36,-853.983,0,315,0,0,0.315,0
96,35,0.8,4,3.48633,270,420,150,50,41.7707,0.338697,0.111764,0.106418,0,-2590.19,-861.79,0,315,0,0,0.315,0
97,35,0.8,4,3.48633,270,420,150,50,41.8261,0.339354,0.111842,0.106474,0,-2611.39,-869.374,0,315,0,0,0.315,0
98,35,0.8,4,3.48633,270,420,150,50,41.8799,0.340022,0.111917,0.106529,0,-2631.98,-876.743,0,315,0,0,0.315,0
99,35,0.8,4,3.48633,270,420,150,50,41.9322,0.340701,0.111989,0.106583,0,-2651.98,-883.902,0,315,0,0,0.315,0
100,35,0.8,4,3.48633,270,420,150,50,41.983,0.34139,0.112058,0.106637,0,-2671.41,-890.857,0,315,0,0,0.315,0
101,35,0.8,4,3.48633,270,420,150,50,42.0323,0.342089,0.112124,0.106691,0,-2690.28,-897.614,0,315,0,0,0.315,0
102,35,0.8,4,3.48633,270,420,150,50,42.0802,0.342797,0.112189,0.106745,0,-2708.61,-904.179,0,315,0,0,0.315,0
103,35,0.8,4,3.48633,270,420,150,50,42.1268,0.343514,0.11225,0.106797,0,-2726.42,-910.556,0,315,0,0,0.315,0
104,35,0.8,4,3.48633,270,420,150,50,42.172,0.344239,0.11231,0.10685,0,-2743.71,-916.751,0,315,0,0,0.315,0
105,35,0.8,4,3.48633,270,420,150,50,42.2159,0.344972,0.112367,0.106902,0,-2760.51,-922.77,0,315,0,0,0.315,0
106,35,0.8,4,3.48633,270,420,150,50,42.2585,0.345713,0.112422,0.106954,0,-2776.82,-928.617,0,315,0,0,0.315,0
107,35,0.8,4,3.48633,270,420,150,50,42.2999,0.34646,0.112475,0.107005,0,-2792.67,-934.297,0,315,0,0,0.315,0
108,35,0.8,4,3.48633,270,420,150,50,42.3402,0.347215,0.112526,0.107055,0,-2808.06,-939.814,0,315,0,0,0.315,0
109,35,0.8,4,3.48633,270,420,150,50,42.3792,0.347976,0.112576,0.107106,0,-2823,-945.174,0,315,0,0,0.315,0
110,35,0.8,4,3.48633,270,420,150,50,42.4172,0.348743,0.112624,0.107155,0,-2837.52,-950.381,0,315,0,0,0.315,0
111,35,0.8,4,3.48633,270,420,150,50,42.454,0.349515,0.11267,0.107205,0,-2851.62,-955.439,0,315,0,0,0.315,0
112,35,0.8,4,3.48633,270,420,150,50,42.4898,0.350293,0.112714,0.107253,0,-2865.31,-960.352,0,315,0,0,0.315,0
113,35,0.8,4,3.48633,270,420,150,50,42.5246,0.351076,0.112757,0.107302,0,-2878.61,-965.124,0,315,0,0,0.315,0
114,35,0.8,4,3.48633,270,420,150,50,42.5584,0.351863,0.112799,0.107349,0,-2891.53,-969.76,0,315,0,0,0.315,0
115,35,0.8,4,3.48633,270,420,150,50,42.5912,0.352655,0.112839,0.107397,0,-2904.07,-974.263,0,315,0,0,0.315,0
116,35,0.8,4,3.48633,270,420,150,50,42.623,0.35345,0.112877,0.107444,0,-2916.25,-978.637,0,315,0,0,0.315,0
117,35,0.8,4,3.48633,270,420,150,50,42.6539,0.35425,0.112915,0.10749,0,-2928.08,-982.885,0,315,0,0,0.315,0
118,35,0.8,4,3.48633,270,420,150,50,42.684,0.355053,0.112951,0.107536,0,-2939.57,-987.012,0,315,0,0,0.315,0
119,35,0.8,4,3.48633,270,420,150,50,42.7131,0.355859,0.112986,0.107581,0,-2950.73,-991.02,0,315,0,0,0.315,0
120,35,0.8,4,3.48633,270,420,150,50,42.7415,0.356669,0.11302,0.107626,0,-2961.57,-994.913,0,315,0,0,0.315,0
121,35,0.8,4,3.48633,270,420,150,50,42.769,0.357481,0.113052,0.107671,0,-2972.09,-998.694,0,315,0,0,0.315,0
122,35,0.8,4,3.48633,270,420,150,50,42.7957,0.358295,0.113084,0.107715,0,-2982.31,-1002.37,0,315,0,0,0.315,0
123,35,0.8,4,3.48633,270,420,150,50,42.8216,0.359112,0.113115,0.107758,0,-2992.24,-1005.93,0,315,0,0,0.315,0
124,35,0.8,4,3.48633,270,420,150,50,42.8468,0.35993,0.113144,0.107801,0,-3001.88,-1009.4,0,315,0,0,0.315,0
125,35,0.8,4,3.48633,270,420,150,50,42.8713,0.360751,0.113173,0.107844,0,-3011.24,-1012.76,0,315,0,0,0.315,0
126,35,0.8,4,3.48633,270,420,150,50,42.8951,0.361573,0.113201,0.107886,0,-3020.33,-1016.03,0,315,0,0,0.315,0
127,35,0.8,4,3.48633,270,420,150,50,42.9181,0.362396,0.113227,0.107928,0,-3029.16,-1019.21,0,315,0,0,0.315,0
128,35,0.8,4,3.48633,270,420,150,50,42.9405,0.363221,0.113253,0.107969,0,-3037.73,-1022.29,0,315,0,0,0.315,0
129,35,0.8,4,3.48633,270,420,150,50,42.9623,0.364046,0.113278,0.10801,0,-3046.06,-1025.28,0,315,0,0,0.315,0
130,35,0.8,4,3.48633,270,420,150,50,42.9834,0.364873,0.113303,0.10805,0,-3054.14,-1028.19,0,315,0,0,0.315,0
131,35,0.8,4,3.48633,270,420,150,50,43.004,0.3657,0.113326,0.10809,0,-3061.99,-1031.02,0,315,0,0,0.315,0
132,35,0.8,4,3.48633,270,420,150,50,43.0239,0.366527,0.113349,0.10813,0,-3069.62,-1033.76,0,315,0,0,0.315,0
133,35,0.8,4,3.48633,270,420,150,50,43.0432,0.367354,0.113371,0.108169,0,-3077.02,-1036.42,0,315,0,0,0.315,0
134,35,0.8,4,3.48633,270,420,150,50,43.062,0.368182,0.113393,0.108208,0,-3084.21,-1039.01,0,315,0,0,0.315,0
135,35,0.8,4,3.48633,270,420,150,50,43.0803,0.36901,0.113413,0.108246,0,-3091.19,-1041.52,0,315,0,0,0.315,0
136,35,0.8,4,3.48633,270,420,150,50,43.098,0.369837,0.113433,0.108284,0,-3097.97,-1043.96,0,315,0,0,0.315,0
137,35,0.8,4,3.48633,270,420,150,50,43.1152,0.370664,0.113453,0.108321,0,-3104.55,-1046.33,0,315,0,0,0.315,0
138,35,0.8,4,3.48633,270,420,150,50,43.1319,0.37149,0.113472,0.108358,0,-3110.95,-1048.63,0,315,0,0,0.315,0
139,35,0.8,4,3.48633,270,420,150,50,43.1481,0.372316,0.11349,0.108395,0,-3117.15,-1050.87,0,315,0,0,0.315,0
140,35,0.8,4,3.48633,270,420,150,50,43.1639,0.373141,0.113508,0.108431,0,-3123.18,-1053.04,0,315,0,0,0.315,0
141,35,0.8,4,3.48633,270,420,150,50,43.1792,0.373965,0.113525,0.108467,0,-3129.03,-1055.15,0,315,0,0,0.315,0
142,35,0.8,4,3.48633,270,420,150,50,43.1941,0.374788,0.113541,0.108503,0,-3134.72,-1057.19,0,315,0,0,0.315,0
143,35,0.8,4,3.48633,270,420,150,50,43.2085,0.37561,0.113557,0.108538,0,-3140.24,-1059.18,0,315,0,0,0.315,0
144,35,0.8,4,3.48633,270,420,150,50,43.2225,0.37643,0.113573,0.108572,0,-3145.6,-1061.11,0,315,0,0,0.315,0
145,35,0.8,4,3.48633,270,420,150,50,43.2361,0.37725,0.113588,0.108607,0,-3150.8,-1062.99,0,315,0,0,0.315,0
146,35,0.8,4,3.48633,270,420,150,50,43.2493,0.378067,0.113603,0.108641,0,-3155.86,-1064.81,0,315,0,0,0.315,0
147,35,0.8,4,3.48633,270,420,150,50,43.2621,0.378883,0.113617,0.108674,0,-3160.76,-1066.57,0,315,0,0,0.315,0
148,35,0.8,4,3.48633,270,420,150,50,43.2746,0.379697,0.113631,0.108708,0,-3165.53,-1068.29,0,315,0,0,0.315,0
149,35,0.8,4,3.48633,270,420,150,50,43.2867,0.38051,0.113644,0.108741,0,-3170.16,-1069.96,0,315,0,0,0.315,0
150,35,0.8,4,3.48633,270,420,150,50,43.2984,0.38132,0.113657,0.108773,0,-3174.65,-1071.58,0,315,0,0,0.315,0
